Species,Population,ID,SegmentID,Segment_start,Segment_end,Segment_duration,Total_distance
SAP,Robben,01_2011R,01_2011R_1,2011-05-18T05:02:39Z,2011-05-19T10:59:48Z,1797.15,97753.3279647224
SAP,Robben,01_2012R,01_2012R_1,2012-04-20T05:46:34Z,2012-04-20T07:16:13Z,89.65,4364.970216448942
SAP,Robben,01_2012R,01_2012R_2,2012-04-20T11:00:20Z,2012-04-20T13:39:03Z,158.716666666667,24376.820641118178
SAP,Robben,01_2012R,01_2012R_3,2012-04-20T14:41:26Z,2012-04-20T20:00:26Z,319,16728.17856472359
SAP,Robben,01_2012R,01_2012R_4,2012-04-20T20:41:06Z,2012-04-20T22:13:13Z,92.1166666666667,2510.16128842411
SAP,Robben,01_2013R,01_2013R_1,2013-05-08T04:32:45Z,2013-05-08T07:26:57Z,174.2,6293.090634734011
SAP,Robben,01_2013R,01_2013R_2,2013-05-08T08:10:55Z,2013-05-08T08:50:58Z,40.05,8812.133774750748
SAP,Robben,01_2013R,01_2013R_3,2013-05-08T09:37:12Z,2013-05-08T15:29:13Z,352.016666666667,30579.32393123441
SAP,Robben,01_2013R,01_2013R_4,2013-05-08T17:23:59Z,2013-05-08T17:59:32Z,35.55,12649.711167735484
SAP,Robben,01_2013R,01_2013R_5,2013-05-08T18:38:05Z,2013-05-08T20:02:36Z,84.5166666666667,6296.529929790487
SAP,Robben,01_2013R,01_2013R_6,2013-05-08T20:34:12Z,2013-05-08T20:59:52Z,25.6666666666667,2784.418719612936
